customer_unique_id,category,weight,price_bucket
0000366f3b9a7992bf8c76cfdf3221e2,bed_bath_table,1.0,mid-high
0000b849f77a49e4a4ce2b2a4ca5be3f,health_beauty,1.0,budget
0000f6ccb0745a6a4b88665a16c9f078,telephony,1.0,budget
00050ab1314c0e55a6ca13cf7181fecf,telephony,1.0,budget
00053a61a98854899e70ed204dd4bafe,sports_leisure,1.0,mid-high
0005e1862207bf6ccc02e4228effd9a0,fashion_bags_accessories,1.0,mid-high
0005ef4cd20d2893f0d9fbd94d3c0d97,sports_leisure,1.0,mid-high
0006fdc98a402fceb4eb0ee528f6a8d4,bed_bath_table,1.0,budget
00090324bbad0e9342388303bb71ba0a,bed_bath_table,1.0,low
000949456b182f53c18b68d6babc79c1,computers_accessories,1.0,mid
000a5ad9c4601d2bbdd9ed765d5213b3,health_beauty,1.0,mid
000bfa1d2f1a41876493be685390d6d3,fashion_bags_accessories,1.0,low
000c8bdb58a29e7115cfc257230fb21b,bed_bath_table,1.0,budget
000d460961d6dbfa3ec6c9f5805769e1,telephony,1.0,budget
000de6019bb59f34c099a907c151d855,bed_bath_table,1.0,mid
000e309254ab1fc5ba99dd469d36bdb4,fashion_underwear_beach,1.0,low
000ec5bff359e1c0ad76a81a45cb598f,home_appliances,1.0,budget
000ed48ceeb6f4bf8ad021a10a3c7b43,computers_accessories,1.0,budget
000fbf0473c10fc1ab6f8d2d286ce20c,musical_instruments,0.5,budget
000fbf0473c10fc1ab6f8d2d286ce20c,toys,0.5,budget
0010fb34b966d44409382af9e8fd5b77,bed_bath_table,1.0,low
001147e649a7b1afd577e873841632dd,housewares,1.0,mid
00115fc7123b5310cf6d3a3aa932699e,sports_leisure,1.0,low
0011805441c0d1b68b48002f1d005526,computers_accessories,1.0,high
0011857aff0e5871ce5eb429f21cdaf5,luggage_accessories,1.0,mid-high
0011c98589159d6149979563c504cb21,small_appliances,1.0,mid
0012929d977a8d7280bb277c1e5f589d,watches_gifts,1.0,mid-high
0014a5a58da615f7b01a4f5e194bf5ea,health_beauty,1.0,mid
0015752e079902b12cd00b9b7596276b,luggage_accessories,1.0,budget
00191a9719ef48ebb5860b130347bf33,bed_bath_table,1.0,low
001926cef41060fae572e2e7b30bd2a4,electronics,1.0,budget
001928b561575b2821c92254a2327d06,furniture_living_room,0.5,budget
001928b561575b2821c92254a2327d06,bed_bath_table,0.5,budget
00196c4c9a3af7dd2ad10eade69c926f,computers_accessories,1.0,budget
00196fdb2bf9edfc35e88ebfbcf8d781,electronics,1.0,budget
0019da6aa6bcb27cc32f1249bd12da05,housewares,1.0,mid
001a2bf0e46c684031af91fb2bce149d,housewares,1.0,budget
001a34eb30ecb8e3aacb07c475ca4dd1,housewares,1.0,mid-high
001a3a8e11d76c9a366c31a4aa2cc529,electronics,1.0,budget
001deb796b28a3a128d6113857569aa4,housewares,1.0,low
001f3c4211216384d5fe59b041ce1461,housewares,1.0,budget
002311514717ca8b65b09a26cdf7b91a,auto,1.0,mid-high
0023557a94bef0038066b5d1b3dc763e,auto,1.0,mid
002471155ecd08d208d1376720e2a907,housewares,1.0,mid
00256bf7b05c08f6a5849df3d0a64f1f,furniture_decor,1.0,low
0027324a96d26a2bc7d69262f83c8403,perfumery,1.0,low
00293787e2aec37a9c253b63fdfe2049,health_beauty,1.0,mid-high
002b4cd83fabaffaa475f78ea5ef3e08,fashion_bags_accessories,1.0,low
002bdeb33da5b1b3ce8b9c822f749c82,health_beauty,1.0,budget
002d3bd901608f67c3fc11eaaa842b13,drinks,1.0,budget
002d71b244beb91ca7030b15ab526446,books_general_interest,1.0,mid-high
002da6dde369f6a8b4c999ed61eb5a87,housewares,1.0,low
002eb8b96288f3804e21d2777ac29895,health_beauty,1.0,mid-high
002ed12115742033f015cb3c269ccf68,electronics,1.0,mid
002ef00822613c94613e60e03b169fef,bed_bath_table,1.0,mid
002feefec5af0a3b26ee7839c66d205e,garden_tools,1.0,low
003035f5ec76f2220098377482de93c9,consoles_games,1.0,low
0034c76b7e6a17d738375b99afc2f01e,home_appliances,1.0,budget
003650b504826ea534e02eba0ab58dd5,perfumery,1.0,budget
0036a074f98b80c4f1fc33dbbcf9c552,housewares,1.0,budget
00377a18050b898b93e2c774be9947db,health_beauty,1.0,low
0037eb1ff742ee2e71ba887f65f3c6f3,housewares,1.0,mid-high
003800162424b7b5b3d75c9cf22a66e7,garden_tools,1.0,mid
00391594070baf8603f5fdc1d0c6a48c,computers_accessories,1.0,mid-high
003ac9408252444b489b1bfc013f5f8c,furniture_decor,1.0,budget
003ae409f37c3c30cb1c974af3a42692,pet_shop,1.0,mid-high
003c457932a554e4df13834237b1ed00,bed_bath_table,1.0,mid-high
003d56767e53e08671de00da3fba8d40,bed_bath_table,1.0,mid-high
003e2af81ea3c72fbdd093f07724a4de,health_beauty,1.0,budget
003fb95e849e71e732629d94bb92762f,bed_bath_table,1.0,low
003fee4ca17927283128c7ddc6f9311b,sports_leisure,1.0,mid
004256f082951ec189a4962b6788c214,telephony,1.0,high
004288347e5e88a27ded2bb23747066c,cool_stuff,1.0,high
0042dcca0ae57aaec6e808edc31a2d48,health_beauty,1.0,mid
0042dfa8925d6eb23e471ec350454f04,baby,1.0,low
0043d65f8039b4a4d43bc7b0f450ac2c,bed_bath_table,1.0,low
